Date,First dose administered,b
19/02/2021,29,0
20/02/2021,65,0
21/02/2021,68,1
22/02/2021,448,0
23/02/2021,358,0
24/02/2021,815,0
25/02/2021,1100,0
26/02/2021,1609,0
27/02/2021,1342,0
28/02/2021,882,0
01/03/2021,1408,0
02/03/2021,1491,0
03/03/2021,1983,0
04/03/2021,1633,0
05/03/2021,1279,0
06/03/2021,602,1
07/03/2021,512,0
08/03/2021,1072,0
09/03/2021,1425,0
10/03/2021,1316,0
11/03/2021,1334,0
12/03/2021,1043,4
13/03/2021,750,5
14/03/2021,576,13
15/03/2021,1614,268
16/03/2021,1929,233
17/03/2021,1642,366
18/03/2021,1595,474
19/03/2021,1693,772
20/03/2021,558,715
21/03/2021,942,644
22/03/2021,1034,1215
23/03/2021,1587,1107
24/03/2021,1971,1586
25/03/2021,1823,1532
26/03/2021,3370,1290
27/03/2021,1155,873
28/03/2021,685,489
29/03/2021,3807,1123
30/03/2021,4169,1500
31/03/2021,5447,1340
01/04/2021,5201,1249
02/04/2021,1724,295
03/04/2021,1413,335
04/04/2021,758,196
05/04/2021,923,291
06/04/2021,3521,1437
07/04/2021,5119,2146
08/04/2021,6464,1766
09/04/2021,5420,1929
10/04/2021,3269,691
11/04/2021,2478,1081
12/04/2021,6045,1722
13/04/2021,6811,1625
14/04/2021,6624,1522
15/04/2021,6891,1843
16/04/2021,6861,2620
17/04/2021,3905,1137
18/04/2021,1478,587
19/04/2021,5094,2037
20/04/2021,6096,2986
21/04/2021,6757,3425
22/04/2021,6529,3871
23/04/2021,8136,3547
24/04/2021,3275,1382
25/04/2021,1474,907
26/04/2021,1392,862
27/04/2021,6804,3207
28/04/2021,7305,3666
29/04/2021,7524,4956
30/04/2021,8377,5023
01/05/2021,3492,1991
02/05/2021,1622,1918
03/05/2021,6252,4485
04/05/2021,8335,5300
05/05/2021,9205,5555
06/05/2021,9202,5828
07/05/2021,10136,6731
08/05/2021,4382,2850
09/05/2021,1728,1614
10/05/2021,6875,5115
11/05/2021,9223,5895
12/05/2021,9522,5762
13/05/2021,9781,5998
14/05/2021,8958,7105
15/05/2021,3418,2813
16/05/2021,2404,1805
17/05/2021,7301,3750
18/05/2021,9278,5507
19/05/2021,9052,6393
20/05/2021,8730,6737
21/05/2021,8269,7290
22/05/2021,4399,3565
23/05/2021,2265,1541
24/05/2021,7232,5745
25/05/2021,9836,7461
26/05/2021,10954,7763
27/05/2021,9867,7006
28/05/2021,10831,9828
29/05/2021,5939,4290
30/05/2021,3323,1878
31/05/2021,8909,5563
01/06/2021,12021,7896
02/06/2021,12553,8407
03/06/2021,14157,8978
04/06/2021,12097,8343
05/06/2021,6203,3347
06/06/2021,3533,1679
07/06/2021,3936,1370
08/06/2021,13094,8750
09/06/2021,7112,4307
10/06/2021,13942,9449
11/06/2021,11982,9566
12/06/2021,7452,4486
13/06/2021,4408,2897
14/06/2021,10360,7548
15/06/2021,13083,9143
16/06/2021,14400,10017
17/06/2021,12992,10293
18/06/2021,11355,9453
19/06/2021,7382,4895
20/06/2021,3967,3344
21/06/2021,9068,8440
22/06/2021,11457,11279
23/06/2021,13124,11871
24/06/2021,11443,12982
25/06/2021,10027,11700
26/06/2021,8355,6273
27/06/2021,3591,3438
28/06/2021,9927,6454
29/06/2021,10938,10025
30/06/2021,12947,9930
01/07/2021,13106,9825
02/07/2021,9767,10306
03/07/2021,7388,5322
04/07/2021,3491,2918
05/07/2021,7784,7960
06/07/2021,9596,11327
07/07/2021,11286,11852
08/07/2021,12713,11886
09/07/2021,11087,10508
10/07/2021,9328,6472
11/07/2021,4394,3239
12/07/2021,9586,8153
13/07/2021,12068,10479
14/07/2021,13419,11445
15/07/2021,12868,10896
16/07/2021,11939,9910
17/07/2021,9455,7070
18/07/2021,5638,3069
19/07/2021,13154,9180
20/07/2021,18766,11913
21/07/2021,20815,13171
22/07/2021,19838,12507
23/07/2021,19773,11284
24/07/2021,17104,7725
25/07/2021,9054,4924
26/07/2021,20560,9968
27/07/2021,27612,11361
28/07/2021,29438,12146
29/07/2021,28233,11972
30/07/2021,31481,10621
31/07/2021,29529,9042
01/08/2021,17980,4658
02/08/2021,25695,9428
03/08/2021,30302,12519
04/08/2021,32564,12911
05/08/2021,29292,12984
06/08/2021,30397,11699
07/08/2021,27917,8875
08/08/2021,15886,4622
09/08/2021,26914,11640
10/08/2021,31127,15938
11/08/2021,32045,16912
12/08/2021,32529,16524
13/08/2021,31383,15637
14/08/2021,30444,13287
15/08/2021,18293,7378
16/08/2021,30376,16037
17/08/2021,35854,20396
18/08/2021,413,100
19/08/2021,21590,8734
20/08/2021,38800,20156
21/08/2021,38383,15854
22/08/2021,28510,9049
23/08/2021,46824,19512
24/08/2021,59446,23547
25/08/2021,63455,26408
26/08/2021,67838,25444
27/08/2021,67428,24655
28/08/2021,56859,22349
29/08/2021,37093,11457
30/08/2021,54874,23722
31/08/2021,59353,27443
01/09/2021,63577,27625
02/09/2021,65202,25269
03/09/2021,61855,25871
04/09/2021,56045,22529
05/09/2021,27043,11991
06/09/2021,45311,21791
07/09/2021,49993,23414
08/09/2021,48847,18525
09/09/2021,46506,15595
10/09/2021,44180,21123
11/09/2021,39040,23274
12/09/2021,20681,13429
13/09/2021,34531,20945
14/09/2021,39718,22827
15/09/2021,40019,23179
16/09/2021,37278,24117
17/09/2021,33381,27625
18/09/2021,29310,24578
19/09/2021,14282,12563
20/09/2021,24812,25899
21/09/2021,27815,26516
22/09/2021,24547,25496
23/09/2021,21264,28493
24/09/2021,19173,31770
25/09/2021,19572,32257
26/09/2021,8286,16577
27/09/2021,12766,28225
28/09/2021,13661,31199
29/09/2021,14080,27068
30/09/2021,14193,32282
01/10/2021,12371,35386
02/10/2021,12877,37364
03/10/2021,7089,20009
04/10/2021,14939,40983
05/10/2021,17592,46032
